---------------------------------------------|---------|---------|---------|-------------------|
File                                         |% Branch | % Funcs | % Lines | Uncovered Line #s |
---------------------------------------------|---------|---------|---------|-------------------|
lib/                                         |         |         |         |                   |
 main.dart                                   |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/app/                                     |         |         |         |                   |
 app.dart                                    |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/app/theme/                               |         |         |         |                   |
 app_colors.dart                             |  100.00 |  100.00 |    0.00 |                  4|
 theme_data.dart                             |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/core/api/                                |         |         |         |                   |
 api_client.dart                             |  100.00 |  100.00 |    0.00 |...,193,194,196,199|
 api_endpoints.dart                          |  100.00 |  100.00 |    4.00 |...6,75,76,77,79,80|
lib/core/constants/                          |         |         |         |                   |
 app_constants.dart                          |    0.00 |    0.00 |    0.00 |    no unit testing|
 hive_table_constant.dart                    |  100.00 |  100.00 |    0.00 |                  2|
lib/core/error/                              |         |         |         |                   |
 exceptions.dart                             |    0.00 |    0.00 |    0.00 |    no unit testing|
 failures.dart                               |  100.00 |  100.00 |   50.00 |          7,8,25,26|
lib/core/extensions/                         |         |         |         |                   |
 context_extensions.dart                     |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/core/providers/                          |         |         |         |                   |
 shared_prefs_provider.dart                  |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/core/services/connectivity/              |         |         |         |                   |
 network_info.dart                           |  100.00 |  100.00 |    0.00 |...4,27,30,32,33,34|
lib/core/services/hive/                      |         |         |         |                   |
 hive_service.dart                           |  100.00 |  100.00 |    0.00 |...,388,389,390,393|
lib/core/services/storage/                   |         |         |         |                   |
 storage_service.dart                        |    0.00 |    0.00 |    0.00 |    no unit testing|
 token_service.dart                          |  100.00 |  100.00 |   10.00 |...8,19,23,24,28,29|
 user_session_service.dart                   |  100.00 |  100.00 |    3.57 |...0,71,72,73,74,75|
lib/core/usecases/                           |         |         |         |                   |
 app_usecase.dart                            |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/core/utils/                              |         |         |         |                   |
 snackbar_utils.dart                         |  100.00 |  100.00 |    0.00 |...9,50,51,53,54,67|
lib/features/auth/data/datasources/          |         |         |         |                   |
 auth_datasource.dart                        |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/auth/data/datasources/local/    |         |         |         |                   |
 auth_local_datasource.dart                  |  100.00 |  100.00 |    0.00 |...0,82,83,84,85,86|
lib/features/auth/data/datasources/remote/   |         |         |         |                   |
 auth_remote_datasource.dart                 |  100.00 |  100.00 |    0.00 |...,146,147,148,149|
lib/features/auth/data/models/               |         |         |         |                   |
 auth_api_model.dart                         |  100.00 |  100.00 |    0.00 |...6,57,58,59,63,64|
 auth_hive_model.dart                        |  100.00 |  100.00 |    0.00 |...7,48,49,50,55,56|
 auth_hive_model.g.dart                      |  100.00 |  100.00 |    0.00 |...7,48,50,53,54,55|
lib/features/auth/data/repositories/         |         |         |         |                   |
 auth_repository.dart                        |  100.00 |  100.00 |    0.00 |...,177,178,179,183|
lib/features/auth/domain/entities/           |         |         |         |                   |
 auth_entity.dart                            |  100.00 |  100.00 |   10.00 |...5,26,27,28,29,30|
lib/features/auth/domain/repositories/       |         |         |         |                   |
 auth_repository.dart                        |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/auth/domain/usecases/           |         |         |         |                   |
 get_current_usecase.dart                    |    0.00 |    0.00 |    0.00 |    no unit testing|
 get_profile_usecase.dart                    |  100.00 |  100.00 |   20.00 |        10,16,19,21|
 login_usecase.dart                          |  100.00 |  100.00 |   55.56 |        16,17,22,23|
 logout_usecase.dart                         |    0.00 |    0.00 |    0.00 |    no unit testing|
